price,make,cre_date,repub_date,pic_num,description,year,hand,gear,engine_capacity,engine_type,km,color,prev_ownership,curr_ownership,area,city,test,supply_score
18000.0,CIVIC,2024-05-16,2024-05-16,0,"הונדה סיביק האצב'ק 2010 יד 04 מנוע 1800, 140 כ""ס 253 אלף קמ טסט עד אוקטובר היסטורית טיפולים מלאה  ** גמיש ליד הרכב",2010,4,אוטומטית,1800,בנזין,253000,אפור עכבר,פרטית,פרטית,נתניה והסביבה,כפר יונה,,4314
29000.0,CIVIC,2024-03-13,2024-03-13,7,"הונדה סיוויק 2011, 227 אלף ק""מ, יד 2 ברשיון. רכב מאוד אמין ללא תקלות שמור ומטופל בזמן. בטיפול האחרון ליפני טסט הוחלפו שמן, 2 משולשים, 2 תפוחי הגה, זרוע הגה, מייסבים בגלגלים קידמיים, מוט מייצב, ברקסים קדימה ומשאבת ברקס. גג פנורמי מקדימה ומאחורה מראות עם וינקרים דגם מפואר. .טסט כמעט לשנה. עד ינואר 2025",2011,3,אוטומטית,1800,בנזין,227000,לבן שנהב,פרטית,פרטית,ירושלים והסביבה,צור הדסה,201,2710
17000.0,CIVIC,2023-10-24,2023-10-24,2,רכב במצב מכני פצצה נוסע כמו חדש מטופל באופן מלא טסט ארוך שקט להרבה שנים,2010,2,אוטומטית,1800,בנזין,200000,חום מטאלי,ליסינג,פרטית,ירושלים והסביבה,ירושלים,,4314
36000.0,CIVIC,2023-10-19,2023-10-19,7,רכב מצויין מצב חדש מאוד מפנק יש הרבה תוספות לפרטים נוספים בפלאפון ,2012,2,אוטומטית,1800,בנזין,159000,חום מטאלי,פרטית,פרטית,באר שבע והסביבה,אופקים,,2735
29000.0,CIVIC,2023-08-28,2023-08-28,4,"בס״ד הונדה סיווק הצ׳באק 2011🚀 180,000 קילומטר בלבד מנוע 1800 יד 03 פרטית  טסט עד 03/24 אחרי טיפול גדול, שמורה ומטופלת בזמן מערכת מולטימדיה ורמקולים במעל 2,000 שח 140 כ״ס🐎 רכב אמין מאוד 0 תקלות, לתדלק ולנסוע. 29,000💸 גמיש במעמד המכירה🤝🏻 לפרטים נוספים  050-555-3949☎️ לא בשבת🙏🏼",2011,3,אוטומטית,1800,בנזין,180000,כחול,פרטית,פרטית,חדרה וישובי עמק חפר,חדרה,,2710
22000.0,INSIGHT,2023-06-16,2023-06-16,4, תוספות      אוטו שומר מצב טוב מטופל בזמן     ,2011,3,אוטומטית,1200,בנזין,270,אפור,ליסינג,פרטית,אשדוד - אשקלון,אשקלון,,1133
49000.0,CIVIC,2023-08-28,2024-03-11,5,שמורה היטב ללא תאונות דגם האצבק ,2015,1,אוטומטית,1600,בנזין,100000,כסוף,פרטית,פרטית,חולון - בת ים,בת ים,,2951
29000.0,CIVIC,2023-06-04,2023-06-04,4,"מוכרת את הרכב היפה שלי! רכב שמור במצב מצוין, נראה כמו חדש מבפנים ומבחוץ. ריפוד פנימי עליון חדש, תוספת של חלונות שחורים מאחורה, לא היה צורך בטיפולים ותיקונים כל התקופה ששהה אצלי. רכב חזק נח. מוכרת עקב מעבר לרכב חדיש יותר. כל הקודם זוכה! אז אם מעניין אותכם שלחו לי הודעה בוואצפ ונדבר 140 אלף קמ  נהגת יחידה שמור מאוד מאוד!",2010,3,אוטומטית,1800,בנזין,140000,אפור,פרטית,פרטית,נס ציונה - רחובות,רחובות,,4314
95000.0,CIVIC,2023-05-07,2023-05-07,2,גם ספורטיבי וגם משפחתי.,2020,1,אוטומטית,1500,בנזין,83000,אפור מטאלי,אחר,פרטית,אילת והערבה,אילת,,357
135000.0,ODYSSEY,2023-01-31,2023-01-31,7,"הונדה אודיסיי (Odyssey) הוא מיניוואן גדול ומרווח, בעל 8 מקומות ישיבה. הוא נחשב לרכב מוביל בקבוצתו בארה""ב. המרווח לנוסעים טוב מאוד, גם בשורת המושבים השלישית. תא המטען גדול ושימושי אפילו כאשר כל המושבים בשימוש, וקיפול של המושבים (שנעשה בקלות) מעניק חלל הטענה עצום. האבזור נדיב והנדסת האנוש טובה מאוד. נוחות הנסיעה אף היא טובה, והונדה אודיסיי שומר על יציבות טובה על אף גודלו ומשקלו. המנוע חזק ומספק ביצועים טובים, והנסיעה באודסיי חלקה ונעימה. צריכת הדלק סבירה בהחלט ביחס לגודלו של הרכב.",2015,2,אוטומטית,3500,בנזין,130000,כסוף,פרטית,פרטית,בית שמש והסביבה,בית שמש,,
50000.0,JAZZ,2022-12-08,2022-12-07,5,הונדה ג׳ז מצב מצויין עם נתנונים הכי טובים שיש במחיר מציאה עוד פרטים בטלפון,2017,1,אוטומטית,1000,בנזין,90000,לבן,פרטית,פרטית,נתניה והסביבה,כפר יונה,,3044
52000.0,JAZZ,2022-11-02,2022-11-02,1,רכב מטופל על פי הספר ולא רואה מוסך .אפשר בקלות לקבל הסטורית טיפולים .נמכר עקב קבלת רכב עבודה ,2017,2,אוטומטית,1100,בנזין,150000,,,,אשדוד - אשקלון,אשקלון,,3044
135000.0,CIVIC,2022-11-01,2022-11-01,1,רכב במצב חדש לחלוטין עם נהגת בודדת מבוגרת,2021,1,אוטומטית,1500,בנזין,7700,,,,מושבים בשרון,תל מונד,,495
,CIVIC,2022-11-01,2022-11-01,1,דגם סדאן טורבו הכי מפואר עם כל התוספות מנוע 1.5 טורבו 182 כוחות סוס מטופל בחברה הכל מרורים צמיגים ומצבר חדש טסט שנה וחודש מתחייב על הכל &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; קארבון מרות וחלון קטן אחורי,2017,2,אוטומטית,1500,בנזין,87000,,,,קריות,קרית ביאליק,,2802
30000.0,CIVIC,2022-10-27,2022-10-27,1,"רכב מסוג הונדה סיוויק 2011, הרכב נסע 147,445 ק״מ הרכב שמור מאוד יש שפשוף בדלת למטה &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; מגני רוח וספויילר ",2011,4,אוטומטית,1800,בנזין,147445,,,,עכו - נהריה,עכו,,2710
40000.0,CIVIC,2022-10-26,2022-10-26,1,רכב שמור וחוסך בדלק ,2014,2,ידנית,1800,בנזין,190000,,,,ירושלים והסביבה,ירושלים,,3146
75000.0,ACCORD,2022-10-26,2022-10-26,1,,2015,1,אוטומטית,2000,היברידי,172000,,,,רמת גן - גבעתיים,רמת גן,,474
41900.0,CIVIC,2022-10-19,2022-10-19,1,"לבוא לקחת... התחייבות לקנייה חוזרת עד 5 שנים. שקיפות מלאה!!! מגוון אפשרויות מימון עד 100% כולל תשלום בצקים. נמצא בסוכנות ""גרינקאר"" בראשל""צ, רח' הרצל 28. הנחות ומחירים מיוחדים יינתנו בסניף, יחס אישי לכל לקוח שקיפות מלאה!!! מבחר ענק של רכבים נוספים ניתן לראות באתר של גרינקאר. לצאת עם רכב חדש באותו היום.",2011,1,אוטומטית,1800,בנזין,84000,,,,"ראשל""צ והסביבה",ראשון לציון,,2710
